"schoolType","COUNTY","SCHOOL","school_code","n","nMMR","nDTP","nPolio","nPBE","nPME","year"
"PUBLIC","RIVERSIDE","FREEDOM CREST ELEMENTARY",100503,120,117,118,118,2,0,2010
"PUBLIC","RIVERSIDE","FREEDOM CREST ELEMENTARY",100503,102,102,101,101,0,0,2008
"PUBLIC","RIVERSIDE","FREEDOM CREST ELEMENTARY",100503,131,131,131,131,0,0,2009
"PUBLIC","RIVERSIDE","FREEDOM CREST ELEMENTARY",100503,144,141,141,141,3,0,2014
"PUBLIC","RIVERSIDE","FREEDOM CREST ELEMENTARY",100503,113,110,113,113,0,0,2005
"PUBLIC","RIVERSIDE","FREEDOM CREST ELEMENTARY",100503,93,93,93,93,0,0,2004
"PUBLIC","RIVERSIDE","FREEDOM CREST ELEMENTARY",100503,111,111,111,111,0,0,2011
"PUBLIC","RIVERSIDE","FREEDOM CREST ELEMENTARY",100503,83,80,80,80,3,0,2013
"PUBLIC","RIVERSIDE","FREEDOM CREST ELEMENTARY",100503,109,103,103,103,3,0,2015
"PUBLIC","RIVERSIDE","FREEDOM CREST ELEMENTARY",100503,166,163,163,164,2,0,2006
"PUBLIC","RIVERSIDE","FREEDOM CREST ELEMENTARY",100503,121,116,114,114,4,0,2012
"PUBLIC","SAN DIEGO","LILAC SCHOOL",100511,97,85,83,83,8,0,2010
"PUBLIC","SAN DIEGO","LILAC SCHOOL",100511,84,76,76,76,8,0,2015
"PUBLIC","SAN DIEGO","LILAC SCHOOL",100511,77,67,69,70,2,0,2003
"PUBLIC","SAN DIEGO","LILAC SCHOOL",100511,99,87,87,87,9,0,2009
"PUBLIC","SAN DIEGO","LILAC SCHOOL",100511,102,86,89,88,7,0,2011
"PUBLIC","SAN DIEGO","LILAC SCHOOL",100511,80,79,79,79,0,1,2005
"PUBLIC","SAN DIEGO","LILAC SCHOOL",100511,109,95,98,97,7,0,2008
"PUBLIC","SAN DIEGO","LILAC SCHOOL",100511,106,91,91,91,14,0,2014
"PUBLIC","SAN DIEGO","LILAC SCHOOL",100511,111,85,83,83,25,0,2013
"PUBLIC","SAN DIEGO","LILAC SCHOOL",100511,95,93,91,91,1,0,2004
"PUBLIC","SAN DIEGO","LILAC SCHOOL",100511,81,76,77,76,3,0,2007
"PUBLIC","SAN DIEGO","LILAC SCHOOL",100511,99,90,93,92,0,0,2012
"PUBLIC","SAN DIEGO","LILAC SCHOOL",100511,73,70,70,70,3,0,2006
"PUBLIC","SUTTER","ANDROS KARPEROS SCHOOL",100537,105,105,105,105,0,0,2012
"PUBLIC","SUTTER","ANDROS KARPEROS SCHOOL",100537,127,125,124,125,1,0,2014
"PUBLIC","SUTTER","ANDROS KARPEROS SCHOOL",100537,114,112,112,112,2,0,2010
"PUBLIC","SUTTER","ANDROS KARPEROS SCHOOL",100537,139,138,138,138,1,0,2013
"PUBLIC","SUTTER","ANDROS KARPEROS SCHOOL",100537,113,108,108,111,0,0,2009
"PUBLIC","SUTTER","ANDROS KARPEROS SCHOOL",100537,107,106,107,107,0,0,2011
"PUBLIC","SUTTER","ANDROS KARPEROS SCHOOL",100537,114,113,114,114,0,0,2015
"PUBLIC","SUTTER","ANDROS KARPEROS SCHOOL",100537,102,102,102,102,0,0,2007
"PUBLIC","SUTTER","ANDROS KARPEROS SCHOOL",100537,104,103,102,101,0,0,2005
"PUBLIC","SUTTER","ANDROS KARPEROS SCHOOL",100537,113,111,104,110,1,0,2008
"PUBLIC","SUTTER","ANDROS KARPEROS SCHOOL",100537,109,107,107,107,2,0,2006
"PUBLIC","SUTTER","ANDROS KARPEROS SCHOOL",100537,96,95,95,95,0,0,2004
"PUBLIC","SUTTER","ANDROS KARPEROS SCHOOL",100537,89,89,89,89,0,0,2003
"PUBLIC","RIVERSIDE","LAKE MATHEWS ELEMENTARY",100545,108,105,106,107,0,0,2015
"PUBLIC","RIVERSIDE","LAKE MATHEWS ELEMENTARY",100545,105,99,99,99,4,1,2010
"PUBLIC","RIVERSIDE","LAKE MATHEWS ELEMENTARY",100545,109,105,106,105,2,0,2012
"PUBLIC","RIVERSIDE","LAKE MATHEWS ELEMENTARY",100545,119,115,113,115,3,0,2014
"PUBLIC","RIVERSIDE","LAKE MATHEWS ELEMENTARY",100545,135,124,127,128,6,0,2013
"PUBLIC","RIVERSIDE","LAKE MATHEWS ELEMENTARY",100545,78,78,78,78,0,0,2004
"PUBLIC","RIVERSIDE","LAKE MATHEWS ELEMENTARY",100545,117,116,116,116,1,0,2011
"PUBLIC","RIVERSIDE","LAKE MATHEWS ELEMENTARY",100545,82,81,81,82,0,0,2005
"PUBLIC","RIVERSIDE","LAKE MATHEWS ELEMENTARY",100545,105,102,104,105,0,0,2009
"PUBLIC","RIVERSIDE","LAKE MATHEWS ELEMENTARY",100545,69,67,66,65,0,0,2006
"PUBLIC","RIVERSIDE","LAKE MATHEWS ELEMENTARY",100545,103,100,100,100,2,0,2008
"PUBLIC","RIVERSIDE","LAKE MATHEWS ELEMENTARY",100545,97,96,96,96,1,0,2007
"PUBLIC","SAN JOAQUIN","BORCHARDT (LOIS) ELEM",100560,119,115,114,116,2,0,2007
"PUBLIC","SAN JOAQUIN","BORCHARDT (LOIS) ELEM",100560,98,98,98,98,0,0,2004
"PUBLIC","SAN JOAQUIN","BORCHARDT (LOIS) ELEM",100560,103,103,102,103,0,0,2013
"PUBLIC","SAN JOAQUIN","BORCHARDT (LOIS) ELEM",100560,106,102,102,100,0,0,2010
"PUBLIC","SAN JOAQUIN","BORCHARDT (LOIS) ELEM",100560,102,101,101,102,0,0,2014
"PUBLIC","SAN JOAQUIN","BORCHARDT (LOIS) ELEM",100560,101,100,100,100,0,0,2005
"PUBLIC","SAN JOAQUIN","BORCHARDT (LOIS) ELEM",100560,56,55,55,55,0,1,2003
"PUBLIC","SAN JOAQUIN","BORCHARDT (LOIS) ELEM",100560,120,116,118,118,1,0,2008
"PUBLIC","SAN JOAQUIN","BORCHARDT (LOIS) ELEM",100560,127,123,122,122,2,0,2011
"PUBLIC","SAN JOAQUIN","BORCHARDT (LOIS) ELEM",100560,103,100,99,100,1,0,2006
"PUBLIC","SAN JOAQUIN","BORCHARDT (LOIS) ELEM",100560,103,102,102,102,0,1,2012
"PUBLIC","SAN JOAQUIN","BORCHARDT (LOIS) ELEM",100560,121,113,110,112,1,0,2009
"PUBLIC","SAN JOAQUIN","BORCHARDT (LOIS) ELEM",100560,136,136,136,136,0,0,2015
"PUBLIC","SAN BERNARDINO","EDWIND RHODES ELEM",100578,40,40,40,40,0,0,2007
"PUBLIC","SAN BERNARDINO","EDWIND RHODES ELEM",100578,79,77,77,77,1,1,2003
"PUBLIC","SAN BERNARDINO","EDWIND RHODES ELEM",100578,60,59,59,60,0,0,2008
"PUBLIC","SAN BERNARDINO","EDWIND RHODES ELEM",100578,85,84,84,84,1,0,2015
"PUBLIC","SAN BERNARDINO","EDWIND RHODES ELEM",100578,84,83,83,83,0,0,2009
"PUBLIC","SAN BERNARDINO","EDWIND RHODES ELEM",100578,83,82,82,82,1,0,2011
"PUBLIC","SAN BERNARDINO","EDWIND RHODES ELEM",100578,56,56,56,56,0,0,2004
"PUBLIC","SAN BERNARDINO","EDWIND RHODES ELEM",100578,93,91,89,91,2,0,2013
"PUBLIC","SAN BERNARDINO","EDWIND RHODES ELEM",100578,60,60,60,60,0,0,2006
"PUBLIC","SAN BERNARDINO","EDWIND RHODES ELEM",100578,87,84,84,84,3,0,2012
"PUBLIC","SAN BERNARDINO","EDWIND RHODES ELEM",100578,87,86,86,86,1,0,2010
"PUBLIC","SAN BERNARDINO","EDWIND RHODES ELEM",100578,82,80,80,80,2,0,2014
"PUBLIC","SAN BERNARDINO","EDWIND RHODES ELEM",100578,63,63,63,63,0,0,2005
"PUBLIC","SAN BERNARDINO","WICKMAN  ELEM",100586,92,91,91,91,1,0,2013
"PUBLIC","SAN BERNARDINO","WICKMAN  ELEM",100586,119,117,117,117,2,0,2008
"PUBLIC","SAN BERNARDINO","WICKMAN  ELEM",100586,160,159,159,159,1,0,2004
"PUBLIC","SAN BERNARDINO","WICKMAN  ELEM",100586,126,125,124,126,0,0,2007
"PUBLIC","SAN BERNARDINO","WICKMAN  ELEM",100586,105,104,104,104,0,1,2011
"PUBLIC","SAN BERNARDINO","WICKMAN  ELEM",100586,123,121,121,121,2,0,2010
"PUBLIC","SAN BERNARDINO","WICKMAN  ELEM",100586,118,117,116,117,1,0,2009
"PUBLIC","SAN BERNARDINO","WICKMAN  ELEM",100586,96,93,93,93,3,0,2014
"PUBLIC","SAN BERNARDINO","WICKMAN  ELEM",100586,133,131,131,131,1,1,2006
"PUBLIC","SAN BERNARDINO","WICKMAN  ELEM",100586,160,158,158,158,2,0,2005
"PUBLIC","SAN BERNARDINO","WICKMAN  ELEM",100586,128,125,125,126,2,0,2012
"PUBLIC","SAN BERNARDINO","WICKMAN  ELEM",100586,93,90,90,91,0,2,2015
"PUBLIC","SAN BERNARDINO","LIBERTY ELEMENTARY SC",100594,113,107,107,109,0,0,2015
"PUBLIC","SAN BERNARDINO","LIBERTY ELEMENTARY SC",100594,72,71,70,71,1,0,2013
"PUBLIC","SAN BERNARDINO","LIBERTY ELEMENTARY SC",100594,82,82,82,82,0,0,2010
"PUBLIC","SAN BERNARDINO","LIBERTY ELEMENTARY SC",100594,100,100,98,98,0,0,2008
"PUBLIC","SAN BERNARDINO","LIBERTY ELEMENTARY SC",100594,100,91,93,94,4,1,2006
"PUBLIC","SAN BERNARDINO","LIBERTY ELEMENTARY SC",100594,100,99,98,98,0,0,2009
"PUBLIC","SAN BERNARDINO","LIBERTY ELEMENTARY SC",100594,125,125,125,125,0,0,2014
"PUBLIC","SAN BERNARDINO","LIBERTY ELEMENTARY SC",100594,89,87,87,87,2,0,2011
"PUBLIC","SAN BERNARDINO","LIBERTY ELEMENTARY SC",100594,85,84,84,85,0,0,2012
"PUBLIC","SAN BERNARDINO","LIBERTY ELEMENTARY SC",100594,100,99,99,99,0,1,2007
"PUBLIC","SAN BERNARDINO","LIBERTY ELEMENTARY SC",100594,99,96,97,97,1,0,2005
"PUBLIC","SAN BERNARDINO","LIBERTY ELEMENTARY SC",100594,100,98,97,97,2,0,2004
"PUBLIC","LOS ANGELES","DOLORES HUERTA ELEMENTARY",100610,94,91,89,91,0,0,2005
"PUBLIC","LOS ANGELES","DOLORES HUERTA ELEMENTARY",100610,84,81,80,81,0,0,2010
"PUBLIC","LOS ANGELES","DOLORES HUERTA ELEMENTARY",100610,88,87,88,88,0,0,2008
"PUBLIC","LOS ANGELES","DOLORES HUERTA ELEMENTARY",100610,108,94,93,94,0,0,2004
"PUBLIC","LOS ANGELES","DOLORES HUERTA ELEMENTARY",100610,84,82,81,82,0,0,2007
"PUBLIC","LOS ANGELES","DOLORES HUERTA ELEMENTARY",100610,84,82,82,82,0,0,2011
"PUBLIC","LOS ANGELES","DOLORES HUERTA ELEMENTARY",100610,93,89,89,89,0,1,2012
"PUBLIC","LOS ANGELES","DOLORES HUERTA ELEMENTARY",100610,91,91,91,91,0,0,2014
"PUBLIC","LOS ANGELES","DOLORES HUERTA ELEMENTARY",100610,106,106,106,106,0,0,2013
"PUBLIC","LOS ANGELES","DOLORES HUERTA ELEMENTARY",100610,99,99,99,99,0,0,2006
"PUBLIC","LOS ANGELES","DOLORES HUERTA ELEMENTARY",100610,107,106,106,106,0,0,2009
"PUBLIC","LOS ANGELES","DOLORES HUERTA ELEMENTARY",100610,106,100,101,101,0,0,2015
"PUBLIC","LOS ANGELES","PICO CANYON ELEM",100636,118,111,111,111,7,0,2010
"PUBLIC","LOS ANGELES","PICO CANYON ELEM",100636,131,125,124,124,5,0,2005
"PUBLIC","LOS ANGELES","PICO CANYON ELEM",100636,114,104,101,102,5,0,2013
"PUBLIC","LOS ANGELES","PICO CANYON ELEM",100636,121,117,112,112,2,0,2007
"PUBLIC","LOS ANGELES","PICO CANYON ELEM",100636,120,117,117,115,0,0,2008
"PUBLIC","LOS ANGELES","PICO CANYON ELEM",100636,128,127,126,126,1,0,2015
"PUBLIC","LOS ANGELES","PICO CANYON ELEM",100636,127,124,122,122,3,0,2003
"PUBLIC","LOS ANGELES","PICO CANYON ELEM",100636,125,113,113,113,5,0,2014
"PUBLIC","LOS ANGELES","PICO CANYON ELEM",100636,111,105,100,100,3,0,2012
"PUBLIC","LOS ANGELES","PICO CANYON ELEM",100636,130,123,118,119,5,0,2006
"PUBLIC","LOS ANGELES","PICO CANYON ELEM",100636,129,119,118,118,5,0,2009
"PUBLIC","LOS ANGELES","PICO CANYON ELEM",100636,123,115,115,115,5,1,2011
"PUBLIC","LOS ANGELES","PICO CANYON ELEM",100636,126,122,120,121,3,0,2004
"PUBLIC","LOS ANGELES","DR J MICHAEL MCGRATH ELEMENTARY",100644,94,92,93,93,0,0,2014
"PUBLIC","LOS ANGELES","DR J MICHAEL MCGRATH ELEMENTARY",100644,105,103,103,104,1,0,2012
"PUBLIC","LOS ANGELES","DR J MICHAEL MCGRATH ELEMENTARY",100644,91,90,90,90,1,0,2006
"PUBLIC","LOS ANGELES","DR J MICHAEL MCGRATH ELEMENTARY",100644,83,81,81,81,1,0,2008
"PUBLIC","LOS ANGELES","DR J MICHAEL MCGRATH ELEMENTARY",100644,92,92,91,91,0,0,2009
"PUBLIC","LOS ANGELES","DR J MICHAEL MCGRATH ELEMENTARY",100644,113,111,111,112,1,0,2003
"PUBLIC","LOS ANGELES","DR J MICHAEL MCGRATH ELEMENTARY",100644,100,98,96,99,0,1,2004
"PUBLIC","LOS ANGELES","DR J MICHAEL MCGRATH ELEMENTARY",100644,111,111,110,110,0,0,2013
"PUBLIC","LOS ANGELES","DR J MICHAEL MCGRATH ELEMENTARY",100644,78,78,78,78,0,0,2010
"PUBLIC","LOS ANGELES","DR J MICHAEL MCGRATH ELEMENTARY",100644,119,118,118,118,1,0,2011
"PUBLIC","LOS ANGELES","DR J MICHAEL MCGRATH ELEMENTARY",100644,105,104,104,104,1,0,2007
"PUBLIC","LOS ANGELES","DR J MICHAEL MCGRATH ELEMENTARY",100644,106,105,105,105,1,0,2005
"PUBLIC","LOS ANGELES","DR J MICHAEL MCGRATH ELEMENTARY",100644,111,110,110,110,1,0,2015
"PUBLIC","KERN","VALLE VERDE ELEMENTAR",100685,140,140,139,140,0,0,2011
"PUBLIC","KERN","VALLE VERDE ELEMENTAR",100685,139,138,137,138,0,1,2007
"PUBLIC","KERN","VALLE VERDE ELEMENTAR",100685,139,139,139,139,0,0,2003
"PUBLIC","KERN","VALLE VERDE ELEMENTAR",100685,120,118,117,117,1,0,2010
"PUBLIC","KERN","VALLE VERDE ELEMENTAR",100685,164,163,164,164,0,0,2015
"PUBLIC","KERN","VALLE VERDE ELEMENTAR",100685,186,186,186,186,0,0,2014
"PUBLIC","KERN","VALLE VERDE ELEMENTAR",100685,187,185,184,184,1,1,2013
"PUBLIC","KERN","VALLE VERDE ELEMENTAR",100685,150,149,149,149,1,0,2008
"PUBLIC","KERN","VALLE VERDE ELEMENTAR",100685,158,155,154,155,2,0,2005
"PUBLIC","KERN","VALLE VERDE ELEMENTAR",100685,180,180,178,180,0,0,2012
"PUBLIC","KERN","VALLE VERDE ELEMENTAR",100685,107,107,107,107,0,0,2009
"PUBLIC","KERN","VALLE VERDE ELEMENTAR",100685,187,186,186,187,0,0,2004
"PUBLIC","KERN","VALLE VERDE ELEMENTAR",100685,133,131,128,131,1,0,2006
"PUBLIC","ORANGE","CANYON VISTA ELEMENTARY",100735,95,81,82,80,5,0,2007
"PUBLIC","ORANGE","CANYON VISTA ELEMENTARY",100735,101,93,93,92,5,2,2010
"PUBLIC","ORANGE","CANYON VISTA ELEMENTARY",100735,119,105,104,103,5,0,2009
"PUBLIC","ORANGE","CANYON VISTA ELEMENTARY",100735,102,93,92,93,6,1,2013
"PUBLIC","ORANGE","CANYON VISTA ELEMENTARY",100735,90,89,89,89,1,0,2014
"PUBLIC","ORANGE","CANYON VISTA ELEMENTARY",100735,102,93,93,94,7,0,2003
"PUBLIC","ORANGE","CANYON VISTA ELEMENTARY",100735,93,83,85,85,5,0,2012
"PUBLIC","ORANGE","CANYON VISTA ELEMENTARY",100735,119,114,114,114,2,1,2006
"PUBLIC","ORANGE","CANYON VISTA ELEMENTARY",100735,120,101,96,101,5,1,2008
"PUBLIC","ORANGE","CANYON VISTA ELEMENTARY",100735,105,96,96,97,4,0,2005
"PUBLIC","ORANGE","CANYON VISTA ELEMENTARY",100735,101,95,95,92,4,2,2004
"PUBLIC","ORANGE","CANYON VISTA ELEMENTARY",100735,125,96,98,97,24,0,2011
"PUBLIC","ORANGE","CANYON VISTA ELEMENTARY",100735,78,77,77,77,0,0,2015
"PUBLIC","LOS ANGELES","ACCELERATED SCHOOL",100743,48,48,48,48,0,0,2015
"PUBLIC","LOS ANGELES","ACCELERATED SCHOOL",100743,60,60,60,60,0,0,2013
"PUBLIC","LOS ANGELES","ACCELERATED SCHOOL",100743,58,55,53,56,0,0,2006
"PUBLIC","LOS ANGELES","ACCELERATED SCHOOL",100743,57,57,57,57,0,0,2004
"PUBLIC","LOS ANGELES","ACCELERATED SCHOOL",100743,60,60,60,60,0,0,2012
"PUBLIC","LOS ANGELES","ACCELERATED SCHOOL",100743,58,58,53,53,0,0,2005
"PUBLIC","LOS ANGELES","ACCELERATED SCHOOL",100743,20,20,20,20,0,0,2009
"PUBLIC","LOS ANGELES","ACCELERATED SCHOOL",100743,20,20,20,20,0,0,2010
"PUBLIC","LOS ANGELES","ACCELERATED SCHOOL",100743,40,40,40,40,0,0,2011
"PUBLIC","LOS ANGELES","ACCELERATED SCHOOL",100743,13,13,13,13,0,0,2007
"PUBLIC","LOS ANGELES","ACCELERATED SCHOOL",100743,60,60,60,60,0,0,2014
"PUBLIC","LOS ANGELES","ACCELERATED SCHOOL",100743,20,20,20,20,0,0,2008
"PUBLIC","LOS ANGELES","CLAS AFFIRMATION",100768,39,14,36,36,3,0,2006
"PUBLIC","LOS ANGELES","CLAS AFFIRMATION",100768,34,34,34,34,0,0,2007
"PUBLIC","LOS ANGELES","CLAS AFFIRMATION",100768,67,58,58,58,5,0,2012
"PUBLIC","ALAMEDA","THINK COLLEGE NOW",100792,39,37,37,38,0,0,2005
"PUBLIC","ALAMEDA","THINK COLLEGE NOW",100792,40,39,39,39,0,0,2006
"PUBLIC","ALAMEDA","THINK COLLEGE NOW",100792,42,42,41,41,0,0,2007
"PUBLIC","ALAMEDA","THINK COLLEGE NOW",100792,40,39,39,39,1,0,2003
"PUBLIC","ALAMEDA","THINK COLLEGE NOW",100792,46,46,45,46,0,0,2015
"PUBLIC","ALAMEDA","THINK COLLEGE NOW",100792,48,44,45,46,0,0,2013
"PUBLIC","ALAMEDA","THINK COLLEGE NOW",100792,48,45,33,33,0,0,2011
"PUBLIC","ALAMEDA","THINK COLLEGE NOW",100792,40,38,38,38,0,0,2008
"PUBLIC","ALAMEDA","THINK COLLEGE NOW",100792,50,45,43,44,0,1,2014
"PUBLIC","ALAMEDA","THINK COLLEGE NOW",100792,48,46,45,46,0,0,2010
"PUBLIC","ALAMEDA","THINK COLLEGE NOW",100792,40,39,40,39,0,0,2004
"PUBLIC","ALAMEDA","THINK COLLEGE NOW",100792,44,44,44,44,0,0,2009
"PUBLIC","ALAMEDA","THINK COLLEGE NOW",100792,44,43,40,40,0,0,2012
"PUBLIC","VENTURA","SOMIS ACADEMY CHARTER SCHOOL",100875,11,4,3,3,7,0,2011
"PUBLIC","ORANGE","VISTA DEL MAR ELEMENTARY",100883,164,131,123,116,6,1,2011
"PUBLIC","ORANGE","VISTA DEL MAR ELEMENTARY",100883,179,137,136,135,10,4,2008
"PUBLIC","ORANGE","VISTA DEL MAR ELEMENTARY",100883,94,80,84,82,0,2,2003
"PUBLIC","ORANGE","VISTA DEL MAR ELEMENTARY",100883,174,142,139,138,9,0,2012
"PUBLIC","ORANGE","VISTA DEL MAR ELEMENTARY",100883,161,105,114,112,6,0,2013
"PUBLIC","ORANGE","VISTA DEL MAR ELEMENTARY",100883,181,138,135,137,4,1,2010
"PUBLIC","ORANGE","VISTA DEL MAR ELEMENTARY",100883,182,156,157,158,8,1,2009
"PUBLIC","ORANGE","VISTA DEL MAR ELEMENTARY",100883,147,102,97,103,6,0,2014
"PUBLIC","ORANGE","VISTA DEL MAR ELEMENTARY",100883,112,96,96,95,8,0,2005
"PUBLIC","ORANGE","VISTA DEL MAR ELEMENTARY",100883,147,126,126,127,11,1,2004
"PUBLIC","ORANGE","VISTA DEL MAR ELEMENTARY",100883,189,150,151,153,6,0,2006
"PUBLIC","ORANGE","VISTA DEL MAR ELEMENTARY",100883,162,139,142,143,8,0,2007
"PUBLIC","ORANGE","VISTA DEL MAR ELEMENTARY",100883,151,128,130,128,12,2,2015
"PUBLIC","ORANGE","LADERA RANCH ELEM",100909,131,108,108,108,21,2,2015
"PUBLIC","ORANGE","LADERA RANCH ELEM",100909,128,109,108,108,17,0,2012
"PUBLIC","ORANGE","LADERA RANCH ELEM",100909,144,132,129,129,12,0,2009
"PUBLIC","ORANGE","LADERA RANCH ELEM",100909,127,121,121,120,6,0,2003
"PUBLIC","ORANGE","LADERA RANCH ELEM",100909,121,109,111,111,4,1,2005
"PUBLIC","ORANGE","LADERA RANCH ELEM",100909,159,150,150,151,3,0,2004
"PUBLIC","ORANGE","LADERA RANCH ELEM",100909,150,133,131,131,17,0,2010
"PUBLIC","ORANGE","LADERA RANCH ELEM",100909,151,139,139,139,5,0,2006
"PUBLIC","ORANGE","LADERA RANCH ELEM",100909,134,107,104,102,22,0,2011
"PUBLIC","ORANGE","LADERA RANCH ELEM",100909,133,115,115,115,12,0,2008
"PUBLIC","ORANGE","LADERA RANCH ELEM",100909,167,156,154,156,10,0,2007
"PUBLIC","ORANGE","LADERA RANCH ELEM",100909,156,131,126,129,21,1,2013
"PUBLIC","ORANGE","LADERA RANCH ELEM",100909,150,129,129,129,21,0,2014
"PUBLIC","SAN DIEGO","TEMPLE HEIGHTS ELEM",100925,125,124,124,124,1,0,2015
"PUBLIC","SAN DIEGO","TEMPLE HEIGHTS ELEM",100925,91,84,84,84,1,0,2006
"PUBLIC","SAN DIEGO","TEMPLE HEIGHTS ELEM",100925,130,118,125,124,0,0,2010
"PUBLIC","SAN DIEGO","TEMPLE HEIGHTS ELEM",100925,96,82,83,87,2,0,2007
"PUBLIC","SAN DIEGO","TEMPLE HEIGHTS ELEM",100925,125,123,123,123,2,0,2012
"PUBLIC","SAN DIEGO","TEMPLE HEIGHTS ELEM",100925,98,89,97,97,1,0,2008
"PUBLIC","SAN DIEGO","TEMPLE HEIGHTS ELEM",100925,152,147,147,147,3,0,2005
"PUBLIC","SAN DIEGO","TEMPLE HEIGHTS ELEM",100925,120,100,118,119,0,0,2011
"PUBLIC","SAN DIEGO","TEMPLE HEIGHTS ELEM",100925,114,111,113,113,1,0,2009
"PUBLIC","SAN DIEGO","TEMPLE HEIGHTS ELEM",100925,131,129,128,127,1,1,2004
"PUBLIC","SAN DIEGO","TEMPLE HEIGHTS ELEM",100925,150,138,136,136,1,2,2013
"PUBLIC","SAN DIEGO","TEMPLE HEIGHTS ELEM",100925,123,100,98,103,1,0,2014
"PUBLIC","SAN DIEGO","HANNALEI ELEMENTARY",100933,96,91,92,92,2,2,2014
"PUBLIC","SAN DIEGO","HANNALEI ELEMENTARY",100933,92,77,75,74,0,0,2010
"PUBLIC","SAN DIEGO","HANNALEI ELEMENTARY",100933,106,105,105,105,1,0,2015
"PUBLIC","SAN DIEGO","HANNALEI ELEMENTARY",100933,104,97,99,99,1,0,2013
"PUBLIC","SAN DIEGO","HANNALEI ELEMENTARY",100933,123,105,105,107,2,0,2012
"PUBLIC","SAN DIEGO","HANNALEI ELEMENTARY",100933,92,88,87,87,4,0,2008
"PUBLIC","SAN DIEGO","HANNALEI ELEMENTARY",100933,96,93,93,93,3,0,2007
"PUBLIC","SAN DIEGO","HANNALEI ELEMENTARY",100933,99,87,82,84,0,0,2005
"PUBLIC","SAN DIEGO","HANNALEI ELEMENTARY",100933,96,90,90,90,2,0,2006
"PUBLIC","SAN DIEGO","HANNALEI ELEMENTARY",100933,98,93,92,93,2,0,2009
"PUBLIC","SAN DIEGO","HANNALEI ELEMENTARY",100933,124,109,112,110,2,0,2011
"PUBLIC","SAN DIEGO","HANNALEI ELEMENTARY",100933,97,89,87,88,1,0,2004
"PUBLIC","RIVERSIDE","SIERRA VISTA ELEMENTARY",100958,178,178,177,178,0,0,2005
"PUBLIC","RIVERSIDE","SIERRA VISTA ELEMENTARY",100958,101,99,99,98,2,0,2013
"PUBLIC","RIVERSIDE","SIERRA VISTA ELEMENTARY",100958,91,91,90,91,0,0,2011
"PUBLIC","RIVERSIDE","SIERRA VISTA ELEMENTARY",100958,124,123,121,121,1,0,2006
"PUBLIC","RIVERSIDE","SIERRA VISTA ELEMENTARY",100958,106,102,102,102,0,0,2015
"PUBLIC","RIVERSIDE","SIERRA VISTA ELEMENTARY",100958,144,142,142,142,2,0,2003
"PUBLIC","RIVERSIDE","SIERRA VISTA ELEMENTARY",100958,120,120,120,120,0,0,2009
"PUBLIC","RIVERSIDE","SIERRA VISTA ELEMENTARY",100958,180,176,174,176,2,1,2004
"PUBLIC","RIVERSIDE","SIERRA VISTA ELEMENTARY",100958,175,173,172,172,0,0,2007
"PUBLIC","RIVERSIDE","SIERRA VISTA ELEMENTARY",100958,88,88,88,88,0,0,2008
"PUBLIC","RIVERSIDE","SIERRA VISTA ELEMENTARY",100958,106,102,103,103,2,0,2012
"PUBLIC","RIVERSIDE","SIERRA VISTA ELEMENTARY",100958,121,118,119,118,0,0,2010
"PUBLIC","RIVERSIDE","SIERRA VISTA ELEMENTARY",100958,92,90,90,89,0,0,2014
"PUBLIC","RIVERSIDE","CLARA BARTON ELEMENTA",100974,269,263,262,262,6,0,2013
"PUBLIC","RIVERSIDE","CLARA BARTON ELEMENTA",100974,182,168,170,170,3,0,2008
"PUBLIC","RIVERSIDE","CLARA BARTON ELEMENTA",100974,139,137,137,137,2,0,2004
"PUBLIC","RIVERSIDE","CLARA BARTON ELEMENTA",100974,196,188,189,188,4,0,2012
"PUBLIC","RIVERSIDE","CLARA BARTON ELEMENTA",100974,195,180,180,180,2,0,2009
"PUBLIC","RIVERSIDE","CLARA BARTON ELEMENTA",100974,81,81,81,81,0,0,2015
"PUBLIC","RIVERSIDE","CLARA BARTON ELEMENTA",100974,295,294,293,293,0,1,2014
"PUBLIC","RIVERSIDE","CLARA BARTON ELEMENTA",100974,188,185,186,185,0,0,2007
"PUBLIC","RIVERSIDE","CLARA BARTON ELEMENTA",100974,196,192,192,192,3,0,2010
"PUBLIC","RIVERSIDE","CLARA BARTON ELEMENTA",100974,170,161,164,164,5,0,2006
"PUBLIC","RIVERSIDE","CLARA BARTON ELEMENTA",100974,150,148,149,149,1,0,2003
"PUBLIC","RIVERSIDE","CLARA BARTON ELEMENTA",100974,208,200,200,200,6,0,2011
"PUBLIC","RIVERSIDE","CLARA BARTON ELEMENTA",100974,217,215,213,215,0,0,2005
"PUBLIC","RIVERSIDE","TEMESCAL VALLEY ELEMENTARY",100982,136,134,135,135,1,0,2004
"PUBLIC","RIVERSIDE","TEMESCAL VALLEY ELEMENTARY",100982,133,131,129,129,1,0,2003
"PUBLIC","RIVERSIDE","TEMESCAL VALLEY ELEMENTARY",100982,99,79,80,81,3,2,2009
"PUBLIC","RIVERSIDE","TEMESCAL VALLEY ELEMENTARY",100982,138,128,126,126,3,0,2013
"PUBLIC","RIVERSIDE","TEMESCAL VALLEY ELEMENTARY",100982,141,134,131,130,3,0,2005
"PUBLIC","RIVERSIDE","TEMESCAL VALLEY ELEMENTARY",100982,120,104,104,104,1,0,2007
